<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SGH,20141031,31.16,31.16,31.16,31.16,100
SGH,20141023,28.72,28.72,28.72,28.72,40
SGH,20141009,28.73,28.73,28.73,28.72,100
SGH,20141006,26.14,26.14,26.14,26.15,100
SGH,20141002,29.03,29.03,29.03,29.03,400
SGH,20140926,32.23,32.23,32.23,32.23,100
SGH,20140828,29.30,29.30,29.30,29.30,200
SGH,20140826,29.30,29.30,29.30,29.30,100
SGH,20140822,32.06,32.06,32.06,32.05,100
SGH,20140820,29.17,29.17,29.17,29.17,100
SGH,20140815,32.41,32.41,32.41,32.41,40
SGH,20140814,32.41,32.41,32.41,32.41,100
SGH,20140812,32.32,32.32,32.32,32.32,100
SGH,20140808,29.79,29.79,29.79,29.79,100
SGH,20140807,27.08,27.08,27.08,27.08,200
SGH,20140806,29.30,29.30,29.30,29.30,100
SGH,20140805,26.86,26.86,26.86,26.86,110
SGH,20140804,24.41,24.41,24.41,24.42,200
SGH,20140730,26.32,26.32,26.32,26.32,100
SGH,20140728,25.30,25.30,25.30,25.30,200
SGH,20140725,24.86,25.97,24.86,25.97,200
SGH,20140721,23.66,23.66,23.66,23.66,100
SGH,20140718,21.53,21.53,21.53,21.53,400
SGH,20140716,21.53,21.53,21.53,21.53,200
SGH,20140711,21.58,21.58,21.58,21.57,100
SGH,20140704,21.62,21.62,21.62,21.62,100
SGH,20140702,21.80,21.80,21.80,21.80,800
SGH,20140701,21.80,21.80,21.80,21.80,200
SGH,20140630,21.53,21.53,21.53,21.53,100
SGH,20140617,21.53,21.53,21.53,21.53,100
SGH,20140613,21.53,21.53,21.53,21.53,100
SGH,20140408,21.53,21.53,21.53,21.53,500
SGH,20140324,21.53,21.53,21.53,21.53,4
SGH,20140319,21.53,21.53,21.53,21.53,6
SGH,20140313,21.53,21.53,21.53,21.53,1000
SGH,20140310,20.86,20.86,20.86,20.86,10
SGH,20140303,20.86,20.86,20.86,20.86,500
SGH,20140228,20.86,20.86,20.86,20.86,400
SGH,20140226,20.86,20.86,20.86,20.86,400
SGH,20140221,20.86,20.86,20.86,20.86,200
SGH,20140220,20.86,20.86,20.86,20.86,100
