<Ticker>,<DTYYYMMDD>,<Open>,High,<Low>,<close>,<Volume>
FOSL,20180504,14.43,14.57,14.24,14.51,1442600
FOSL,20180503,15.1,15.14,14.52,14.58,1259900
FOSL,20180502,14.4,15.24,14.19,15.14,1478300
FOSL,20180501,14.84,15.1,13.86,14.44,3154500
FOSL,20180430,15.01,15.29,14.75,14.95,1161600
FOSL,20180427,14.9,15.4,14.81,15.02,1165700
FOSL,20180426,14.19,15.12,14.12,14.85,1200800
FOSL,20180425,14.45,14.8,14.08,14.18,2378500
FOSL,20180424,14.52,14.95,14.1,14.2,1930400
FOSL,20180423,14.28,14.4,14.03,14.37,972600
FOSL,20180420,14.4,14.54,14.05,14.18,1584300
FOSL,20180419,15.0,15.26,14.39,14.42,1742500
FOSL,20180418,15.78,16.08,15.06,15.07,1769500
FOSL,20180417,15.37,15.74,15.31,15.71,1202600
FOSL,20180416,14.97,15.39,14.82,15.24,1294400
FOSL,20180413,15.1,15.27,14.69,14.87,1098800
FOSL,20180412,14.48,15.08,14.31,15.05,1553200
FOSL,20180411,14.59,15.16,14.4,14.43,1955500
FOSL,20180410,14.56,15.0,14.44,14.81,1651900
FOSL,20180409,14.3,14.58,14.08,14.34,1442500
FOSL,20180406,14.34,14.65,13.86,14.16,1708900
FOSL,20180405,14.03,14.58,13.57,14.54,2266200
FOSL,20180404,12.39,13.98,12.39,13.95,2757700
FOSL,20180403,12.26,12.75,12.21,12.64,1370900
FOSL,20180402,12.6,12.8,12.04,12.24,1524100
FOSL,20180329,12.58,13.63,12.58,12.7,3537900
FOSL,20180328,12.54,12.76,12.21,12.44,1617300
FOSL,20180327,12.97,13.14,12.45,12.48,2347000
FOSL,20180326,12.62,13.0,12.18,12.97,1202800
FOSL,20180323,12.67,12.87,12.38,12.4,1364600
FOSL,20180322,12.29,12.86,12.15,12.55,1842300
FOSL,20180321,12.17,12.77,12.08,12.5,1943100
FOSL,20180320,12.07,12.36,11.72,12.18,1458100
FOSL,20180319,11.77,12.09,11.68,12.08,1649300
FOSL,20180316,11.73,12.33,11.5,11.92,2962100
FOSL,20180315,11.83,12.19,11.4,11.61,2770000
FOSL,20180314,12.61,12.75,11.62,11.8,2843900
FOSL,20180313,12.59,12.87,12.36,12.58,1419800
FOSL,20180312,12.63,12.93,12.29,12.58,2076900
FOSL,20180309,13.64,13.64,12.2,12.57,4671800
FOSL,20180308,13.44,13.84,13.21,13.61,2207800
FOSL,20180307,13.72,13.98,13.34,13.38,2047900
FOSL,20180306,14.07,14.27,13.62,13.87,1505800
FOSL,20180305,13.64,14.35,13.5,14.08,1959700
FOSL,20180302,13.19,13.99,13.03,13.8,2367300
FOSL,20180301,13.3,13.89,13.19,13.36,1802200
FOSL,20180228,13.44,13.63,13.15,13.38,1843200
FOSL,20180227,13.87,14.53,13.4,13.43,2853500
FOSL,20180226,13.99,14.16,13.18,13.92,2456000
FOSL,20180223,13.45,13.9,13.17,13.68,2396100
FOSL,20180222,13.86,14.16,13.28,13.34,3291200
FOSL,20180221,13.67,14.91,13.37,13.83,6535600
FOSL,20180220,14.05,14.59,13.56,13.67,5668700
FOSL,20180216,15.33,15.42,14.48,14.52,5069200
FOSL,20180215,16.49,16.49,14.81,15.52,11584600
FOSL,20180214,16.129998999999998,18.0,13.8,16.969998999999998,42096500
FOSL,20180213,8.38,9.14,8.28,9.04,6844300
FOSL,20180212,8.4,8.55,7.97,8.39,2360800
FOSL,20180209,8.26,8.47,7.68,8.38,1863600
FOSL,20180208,8.79,8.93,7.92,8.15,1935100
FOSL,20180207,8.38,8.93,8.21,8.83,2886100
FOSL,20180206,7.2,8.47,7.16,8.21,3000900
FOSL,20180205,7.4,7.63,7.3,7.34,3124300
FOSL,20180202,7.73,7.85,7.43,7.48,2134100
FOSL,20180201,7.73,8.16,7.56,7.77,2223700
FOSL,20180131,8.71,8.8,7.86,7.96,4980400
FOSL,20180130,9.55,9.67,9.16,9.18,1562900
FOSL,20180129,9.61,9.82,9.35,9.65,1405200
FOSL,20180126,9.72,9.97,9.53,9.7,1335700
FOSL,20180125,9.91,10.14,9.54,9.75,1080900
FOSL,20180124,10.8,10.91,9.66,9.86,3805000
FOSL,20180123,9.5,10.83,9.5,10.78,3142300
FOSL,20180122,10.14,10.17,9.32,9.47,2272400
FOSL,20180119,9.17,10.24,9.07,10.03,5528300
FOSL,20180118,9.41,9.45,9.09,9.11,1121400
FOSL,20180117,9.26,9.71,9.09,9.33,1594200
FOSL,20180116,9.38,9.66,8.99,9.17,2353400
FOSL,20180112,8.79,9.4,8.66,9.38,1618800
FOSL,20180111,8.17,8.99,8.17,8.83,1714400
FOSL,20180110,8.06,8.43,8.01,8.25,910700
FOSL,20180109,8.29,8.34,8.04,8.12,854100
FOSL,20180108,8.29,8.47,7.95,8.25,1522100
FOSL,20180105,7.76,8.38,7.74,8.34,2771800
FOSL,20180104,8.55,8.75,8.11,8.4,1443800
FOSL,20180103,8.7,8.99,8.29,8.5,1932200
FOSL,20180102,7.82,8.71,7.8,8.65,2262000
FOSL,20171229,7.72,8.07,7.67,7.77,1210200
FOSL,20171228,7.92,8.19,7.62,7.68,1333500
FOSL,20171227,8.0,8.07,7.76,7.79,1868000
FOSL,20171226,7.39,8.24,7.38,8.07,1459800
FOSL,20171222,7.66,7.66,7.35,7.43,1418700
FOSL,20171221,7.13,7.79,7.1,7.75,3036000
FOSL,20171220,7.32,7.32,6.99,7.08,1854000
FOSL,20171219,6.87,7.33,6.87,7.23,1537700
FOSL,20171218,6.93,7.22,6.92,7.03,2028800
FOSL,20171215,6.93,7.01,6.59,6.86,3307000
FOSL,20171214,6.83,7.04,6.76,6.93,1315400
FOSL,20171213,6.46,6.83,6.26,6.8,2243900
FOSL,20171212,6.91,6.98,6.45,6.47,1743800
FOSL,20171211,6.92,7.2,6.86,6.93,1849700
FOSL,20171208,6.74,6.97,6.62,6.88,1378300
FOSL,20171207,6.67,7.0,6.64,6.71,1237500
FOSL,20171206,6.64,6.79,6.58,6.68,1102200
FOSL,20171205,6.68,6.79,6.4,6.68,1769000
FOSL,20171204,6.77,6.94,6.55,6.68,1840100
FOSL,20171201,7.05,7.13,6.64,6.69,2229500
FOSL,20171130,7.8,8.01,7.05,7.08,2509400
FOSL,20171129,7.75,7.95,7.54,7.8,1405200
FOSL,20171128,7.48,7.76,7.35,7.73,1196300
FOSL,20171127,7.54,7.8,7.45,7.55,1371000
FOSL,20171124,7.53,7.66,7.41,7.53,579000
FOSL,20171122,7.32,7.65,7.26,7.51,1444600
FOSL,20171121,7.7,7.84,7.2,7.27,1665500
FOSL,20171120,7.94,8.17,7.58,7.72,1567300
FOSL,20171117,7.83,8.04,7.57,7.95,2053400
FOSL,20171116,7.22,7.68,7.12,7.62,2207100
FOSL,20171115,7.06,7.37,6.96,7.16,2285100
FOSL,20171114,6.85,7.25,6.83,7.2,2649200
FOSL,20171113,6.66,6.9,6.38,6.75,2917900
FOSL,20171110,6.22,6.62,5.84,6.6,4869500
FOSL,20171109,5.64,6.09,5.64,5.68,5284700
FOSL,20171108,6.36,7.12,5.5,5.67,9252700
FOSL,20171107,7.08,7.13,6.83,6.85,3504600
FOSL,20171106,7.5,7.64,6.85,6.98,4052200
FOSL,20171103,7.74,7.74,7.33,7.33,1939500
FOSL,20171102,7.92,7.93,7.52,7.74,1765700
FOSL,20171101,7.95,8.08,7.47,7.85,2186600
FOSL,20171031,8.34,8.86,7.87,7.88,1807400
FOSL,20171030,8.7,8.92,8.31,8.34,1674800
FOSL,20171027,9.2,9.3,8.71,8.78,2760300
FOSL,20171026,9.35,9.47,9.15,9.26,1152200
FOSL,20171025,9.05,9.44,8.98,9.37,1161700
