<Ticker>,<DTYYYMMDD>,<Open>,High,<Low>,<close>,<Volume>
BIDU,20180504,250.850006,254.74000499999997,249.289993,251.729996,2697100
BIDU,20180503,249.0,254.539993,245.74000499999997,252.460007,2728200
BIDU,20180502,250.919998,252.74000499999997,246.80000299999998,249.80000299999998,3058000
BIDU,20180501,247.24000499999997,254.080002,246.00999500000003,252.13000499999998,2471100
BIDU,20180430,253.690002,255.0,244.399994,250.899994,4269500
BIDU,20180427,253.94999700000002,257.299988,245.63000499999998,251.92999300000002,8015600
BIDU,20180426,232.830002,239.399994,232.600006,238.690002,3899600
BIDU,20180425,229.19999700000002,231.460007,222.5,231.41000400000001,2256400
BIDU,20180424,233.82000699999998,238.36000099999998,228.5,231.41000400000001,2220100
BIDU,20180423,232.520004,235.05000299999998,230.13999900000002,231.419998,1534400
BIDU,20180420,234.919998,235.690002,230.210007,232.5,2280200
BIDU,20180419,238.42999300000002,240.399994,235.25999500000003,237.11000099999998,1737900
BIDU,20180418,237.38000499999998,239.91000400000001,236.5,237.75,2039200
BIDU,20180417,230.270004,237.0,228.63000499999998,235.669998,2282100
BIDU,20180416,228.44999700000002,231.07000699999998,226.52999900000003,229.899994,1913800
BIDU,20180413,231.88000499999998,233.0,225.770004,228.169998,1647000
BIDU,20180412,230.75,232.24000499999997,229.02999900000003,231.33999599999999,1217400
BIDU,20180411,230.0,233.5,228.88000499999998,229.649994,1383000
BIDU,20180410,231.32000699999998,233.55000299999998,228.419998,231.5,2622200
BIDU,20180409,224.69999700000002,227.75,221.919998,224.330002,2280100
BIDU,20180406,221.30000299999998,225.289993,218.13000499999998,219.82000699999998,1741700
BIDU,20180405,226.00999500000003,228.5,224.36999500000002,225.57000699999998,2103800
BIDU,20180404,213.80000299999998,225.94999700000002,213.559998,224.30000299999998,4102900
BIDU,20180403,223.52999900000003,224.770004,216.690002,220.020004,2347800
BIDU,20180402,220.83999599999999,223.86999500000002,216.11000099999998,220.059998,2693400
BIDU,20180329,225.0,226.479996,220.16000400000001,223.190002,3787400
BIDU,20180328,228.80000299999998,229.899994,220.19999700000002,223.100006,4251400
BIDU,20180327,239.38000499999998,241.210007,228.69999700000002,230.960007,3135800
BIDU,20180326,236.61000099999998,237.770004,229.38000499999998,235.940002,3331000
BIDU,20180323,236.520004,238.82000699999998,229.33999599999999,230.080002,3980300
BIDU,20180322,245.0,245.169998,233.72000099999997,236.11000099999998,5101300
BIDU,20180321,254.25999500000003,254.25999500000003,249.02999900000003,250.05000299999998,2643200
BIDU,20180320,253.75,256.73999,252.11000099999998,254.460007,2361500
BIDU,20180319,261.47000099999997,261.76001,250.350006,252.830002,3095100
BIDU,20180316,259.609985,263.700012,257.209991,262.390015,4646100
BIDU,20180315,263.01001,264.75,260.48999,262.709991,2506800
BIDU,20180314,259.730011,262.75,256.730011,259.350006,2346000
BIDU,20180313,268.0,268.0,257.339996,258.350006,2566700
BIDU,20180312,264.920013,270.579987,263.23999,265.670013,2576300
BIDU,20180309,259.25,267.600006,257.859985,263.559998,3757800
BIDU,20180308,257.540009,258.549988,254.86000099999998,257.140015,2285400
BIDU,20180307,255.92999300000002,258.320007,254.16000400000001,257.26001,1662100
BIDU,20180306,257.98999,260.0,255.729996,258.730011,2600600
BIDU,20180305,248.08999599999999,256.329987,246.210007,254.88999900000002,2272000
BIDU,20180302,242.32000699999998,251.580002,240.66000400000001,250.600006,2433500
BIDU,20180301,251.63000499999998,256.200012,245.67999300000002,249.75,3005200
BIDU,20180228,254.0,255.0,250.57000699999998,252.33999599999999,2672700
BIDU,20180227,253.5,257.559998,250.210007,250.460007,2696900
BIDU,20180226,251.33999599999999,256.290009,250.86000099999998,256.25,2596500
BIDU,20180223,250.0,252.0,246.88999900000002,250.74000499999997,1791200
BIDU,20180222,248.08999599999999,249.42999300000002,244.36000099999998,249.350006,2355400
BIDU,20180221,247.72000099999997,252.94999700000002,246.75,246.919998,2419200
BIDU,20180220,243.07000699999998,248.00999500000003,242.13999900000002,245.42999300000002,2223800
BIDU,20180216,248.0,248.74000499999997,242.899994,244.72000099999997,2198700
BIDU,20180215,240.99000499999997,248.289993,237.13000499999998,248.19999700000002,5593200
BIDU,20180214,236.039993,239.88000499999998,232.690002,235.88999900000002,7950200
BIDU,20180213,223.41000400000001,227.69999700000002,221.80000299999998,225.600006,4713900
