<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
002600.KS,20180518,212500.0,213000.0,208500.0,210000.0,342.0
002600.KS,20180517,216000.0,218000.0,211000.0,213000.0,122.0
002600.KS,20180516,215000.0,218000.0,210500.0,214000.0,702.0
002600.KS,20180515,221000.0,222000.0,216500.0,219500.0,226.0
002600.KS,20180514,221000.0,221000.0,218500.0,218500.0,472.0
002600.KS,20180511,221500.0,224500.0,220000.0,221000.0,152.0
002600.KS,20180510,223000.0,223000.0,220000.0,221000.0,391.0
002600.KS,20180509,221000.0,224000.0,221000.0,224000.0,260.0
002600.KS,20180508,223000.0,224500.0,222000.0,224500.0,180.0
002600.KS,20180504,227000.0,227000.0,222000.0,224500.0,165.0
002600.KS,20180503,223000.0,226000.0,221500.0,225000.0,142.0
002600.KS,20180502,223000.0,225500.0,222500.0,223000.0,58.0
002600.KS,20180430,228000.0,228000.0,223000.0,223000.0,199.0
002600.KS,20180427,223500.0,224000.0,222000.0,223000.0,186.0
002600.KS,20180426,225000.0,225000.0,222500.0,223500.0,146.0
002600.KS,20180425,223000.0,227000.0,222000.0,226000.0,196.0
002600.KS,20180424,222500.0,224500.0,222500.0,224500.0,93.0
002600.KS,20180423,222500.0,222500.0,221500.0,222500.0,143.0
002600.KS,20180420,223000.0,224500.0,222000.0,222500.0,178.0
002600.KS,20180419,226000.0,226000.0,223500.0,224500.0,152.0
002600.KS,20180418,227000.0,227500.0,225000.0,225000.0,198.0
002600.KS,20180417,223500.0,226000.0,222500.0,226000.0,80.0
002600.KS,20180416,224000.0,229000.0,222500.0,222500.0,118.0
002600.KS,20180413,222000.0,226000.0,222000.0,224000.0,96.0
002600.KS,20180412,227500.0,230500.0,224000.0,224000.0,318.0
002600.KS,20180411,224000.0,225000.0,223000.0,224000.0,95.0
002600.KS,20180410,225000.0,227500.0,224000.0,224000.0,183.0
002600.KS,20180409,227500.0,227500.0,224000.0,224000.0,64.0
002600.KS,20180406,226500.0,226500.0,224000.0,225000.0,126.0
002600.KS,20180405,228500.0,232500.0,225000.0,226000.0,150.0
002600.KS,20180404,230000.0,230000.0,226000.0,227500.0,107.0
002600.KS,20180403,231000.0,231000.0,230000.0,230500.0,123.0
002600.KS,20180402,228500.0,231000.0,228500.0,230000.0,37.0
002600.KS,20180330,233000.0,233000.0,228000.0,228000.0,68.0
002600.KS,20180329,229000.0,234500.0,227500.0,229000.0,23.0
002600.KS,20180328,232000.0,232000.0,229000.0,229000.0,39.0
002600.KS,20180327,232000.0,234000.0,227000.0,231000.0,69.0
002600.KS,20180326,235500.0,235500.0,227000.0,228500.0,82.0
002600.KS,20180323,232000.0,235500.0,227000.0,228500.0,391.0
002600.KS,20180322,233000.0,239000.0,231500.0,239000.0,105.0
002600.KS,20180321,237500.0,238500.0,232500.0,238000.0,27.0
002600.KS,20180320,239500.0,239500.0,231000.0,237500.0,98.0
002600.KS,20180319,240000.0,240000.0,236000.0,236000.0,11.0
002600.KS,20180316,235000.0,240000.0,235000.0,239000.0,81.0
002600.KS,20180315,238500.0,238500.0,231500.0,235500.0,98.0
002600.KS,20180314,236500.0,240000.0,236500.0,239500.0,186.0
002600.KS,20180313,229000.0,237500.0,229000.0,236500.0,179.0
002600.KS,20180312,229000.0,232000.0,226000.0,229500.0,93.0
002600.KS,20180309,225000.0,228500.0,225000.0,227000.0,261.0
002600.KS,20180308,228500.0,229000.0,225000.0,225500.0,96.0
