<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
005010.KS,20180518,16800.0,17550.0,16700.0,17350.0,81305.0
005010.KS,20180517,16650.0,17250.0,16550.0,16800.0,110023.0
005010.KS,20180516,17000.0,17550.0,16350.0,16650.0,195474.0
005010.KS,20180515,16100.0,18650.0,15550.0,17750.0,529915.0
005010.KS,20180514,14900.0,16150.0,14700.0,15750.0,118314.0
005010.KS,20180511,14950.0,14950.0,14300.0,14900.0,16739.0
005010.KS,20180510,14450.0,15000.0,14350.0,14850.0,21619.0
005010.KS,20180509,14550.0,14850.0,14100.0,14350.0,33806.0
005010.KS,20180508,15400.0,15400.0,14500.0,14500.0,61795.0
005010.KS,20180504,14500.0,15450.0,14500.0,15450.0,47560.0
005010.KS,20180503,15050.0,15200.0,14500.0,14850.0,49212.0
005010.KS,20180502,15600.0,16200.0,14900.0,15300.0,135262.0
005010.KS,20180430,14550.0,15500.0,14550.0,15200.0,164847.0
005010.KS,20180427,14350.0,14450.0,14000.0,14250.0,8415.0
005010.KS,20180426,14150.0,14300.0,14000.0,14250.0,7562.0
005010.KS,20180425,14450.0,14500.0,13850.0,14200.0,16759.0
005010.KS,20180424,14000.0,14350.0,13850.0,14150.0,27718.0
005010.KS,20180423,14300.0,14750.0,13950.0,13950.0,69086.0
005010.KS,20180420,13850.0,14250.0,13700.0,13850.0,29054.0
005010.KS,20180419,13450.0,13950.0,13450.0,13900.0,61409.0
005010.KS,20180418,12950.0,13300.0,12850.0,13300.0,15822.0
005010.KS,20180417,12850.0,13000.0,12800.0,12850.0,5194.0
005010.KS,20180416,13000.0,13100.0,12800.0,12850.0,6271.0
005010.KS,20180413,12950.0,13050.0,12650.0,13000.0,15756.0
005010.KS,20180412,12900.0,12900.0,12700.0,12800.0,5910.0
005010.KS,20180411,12800.0,12900.0,12700.0,12900.0,17715.0
005010.KS,20180410,12700.0,12850.0,12650.0,12800.0,11659.0
005010.KS,20180409,13050.0,13100.0,12700.0,12700.0,32947.0
005010.KS,20180406,12950.0,13050.0,12850.0,13050.0,21691.0
005010.KS,20180405,13100.0,13200.0,13000.0,13000.0,13128.0
005010.KS,20180404,13250.0,13300.0,12950.0,13100.0,42109.0
005010.KS,20180403,13150.0,13300.0,13050.0,13300.0,19468.0
005010.KS,20180402,13300.0,13500.0,13250.0,13350.0,13272.0
005010.KS,20180330,13350.0,13500.0,13200.0,13450.0,8535.0
005010.KS,20180329,13500.0,13600.0,13200.0,13300.0,22715.0
005010.KS,20180328,13300.0,13600.0,13150.0,13400.0,40378.0
005010.KS,20180327,13300.0,13700.0,13300.0,13450.0,53983.0
005010.KS,20180326,13700.0,15150.0,13250.0,13550.0,262268.0
005010.KS,20180323,14000.0,15350.0,13050.0,13100.0,207868.0
005010.KS,20180322,13600.0,13850.0,13350.0,13400.0,18361.0
005010.KS,20180321,13650.0,13850.0,13500.0,13550.0,12480.0
005010.KS,20180320,13950.0,14200.0,13600.0,13650.0,28020.0
005010.KS,20180319,13600.0,14100.0,13450.0,13900.0,59532.0
005010.KS,20180316,13050.0,13350.0,12900.0,13350.0,8805.0
005010.KS,20180315,13450.0,13700.0,13050.0,13050.0,20315.0
005010.KS,20180314,13500.0,13700.0,13500.0,13650.0,7820.0
005010.KS,20180313,14100.0,14100.0,13500.0,13600.0,15056.0
005010.KS,20180312,13600.0,13850.0,13600.0,13750.0,11644.0
005010.KS,20180309,13450.0,13850.0,13100.0,13850.0,34055.0
005010.KS,20180308,13550.0,13900.0,13450.0,13700.0,23740.0
005010.KS,20180307,13200.0,13550.0,13150.0,13300.0,13740.0
005010.KS,20180306,13250.0,13250.0,13050.0,13200.0,6417.0
005010.KS,20180305,13400.0,13400.0,13000.0,13100.0,12997.0
005010.KS,20180302,13800.0,14000.0,13400.0,13450.0,19815.0
005010.KS,20180228,14150.0,14150.0,13800.0,13800.0,11392.0
005010.KS,20180227,14150.0,14150.0,13850.0,14150.0,10808.0
005010.KS,20180226,14150.0,14200.0,13900.0,14000.0,15817.0
005010.KS,20180223,13900.0,13950.0,13800.0,13950.0,8140.0
005010.KS,20180222,14000.0,14000.0,13700.0,13800.0,14436.0
005010.KS,20180221,14200.0,14200.0,13800.0,13950.0,22380.0
005010.KS,20180220,14550.0,14550.0,14050.0,14200.0,23380.0
005010.KS,20180219,14850.0,14850.0,14200.0,14400.0,35713.0
005010.KS,20180214,15200.0,15250.0,14900.0,15100.0,9112.0
005010.KS,20180213,15350.0,15350.0,15100.0,15200.0,2905.0
005010.KS,20180212,15250.0,15300.0,15000.0,15250.0,3164.0
005010.KS,20180209,15400.0,15400.0,15000.0,15100.0,7501.0
005010.KS,20180208,15600.0,15650.0,15300.0,15350.0,6903.0
005010.KS,20180207,15700.0,15850.0,15450.0,15450.0,8765.0
005010.KS,20180206,15650.0,15700.0,15250.0,15700.0,13303.0
005010.KS,20180205,15600.0,15900.0,15600.0,15800.0,7288.0
005010.KS,20180202,15950.0,16000.0,15750.0,15950.0,7619.0
005010.KS,20180201,16000.0,16050.0,15850.0,15950.0,7328.0
005010.KS,20180131,15900.0,16000.0,15700.0,15950.0,15013.0
005010.KS,20180130,16150.0,16150.0,15750.0,15900.0,7207.0
005010.KS,20180129,16000.0,16150.0,15900.0,16000.0,10957.0
005010.KS,20180126,15750.0,16000.0,15700.0,15850.0,7472.0
005010.KS,20180125,15400.0,15850.0,15400.0,15800.0,27627.0
005010.KS,20180124,15450.0,15450.0,15250.0,15350.0,5804.0
005010.KS,20180123,15400.0,15400.0,15200.0,15350.0,9986.0
005010.KS,20180122,15400.0,15400.0,15200.0,15300.0,2190.0
005010.KS,20180119,15450.0,15450.0,15150.0,15350.0,9096.0
005010.KS,20180118,15500.0,15500.0,15200.0,15250.0,12315.0
005010.KS,20180117,15350.0,15450.0,15250.0,15400.0,3637.0
005010.KS,20180116,15550.0,15550.0,15200.0,15300.0,13854.0
005010.KS,20180115,15550.0,15600.0,15200.0,15500.0,5634.0
005010.KS,20180112,15300.0,15550.0,15150.0,15500.0,10915.0
005010.KS,20180111,15250.0,15550.0,15150.0,15500.0,10514.0
005010.KS,20180110,15250.0,15400.0,15100.0,15250.0,6719.0
005010.KS,20180109,15450.0,15450.0,15100.0,15200.0,12855.0
005010.KS,20180108,15450.0,15550.0,15250.0,15350.0,8386.0
005010.KS,20180105,15500.0,15600.0,15400.0,15550.0,6873.0
005010.KS,20180104,15300.0,15400.0,15150.0,15350.0,12628.0
005010.KS,20180103,15500.0,15650.0,15150.0,15300.0,23652.0
005010.KS,20180102,15500.0,15650.0,15200.0,15650.0,7691.0
005010.KS,20171228,15400.0,15700.0,15300.0,15450.0,9226.0
005010.KS,20171227,16000.0,16000.0,15350.0,15550.0,11035.0
005010.KS,20171226,15700.0,16000.0,15700.0,15900.0,14750.0
005010.KS,20171222,15800.0,15850.0,15550.0,15800.0,20409.0
005010.KS,20171221,15850.0,15950.0,15650.0,15650.0,12913.0
005010.KS,20171219,16000.0,16050.0,15800.0,16000.0,16173.0
005010.KS,20171218,16200.0,16250.0,15750.0,15950.0,6292.0
005010.KS,20171215,16050.0,16300.0,15950.0,16150.0,16018.0
005010.KS,20171214,15850.0,16300.0,15800.0,16050.0,20568.0
005010.KS,20171213,15950.0,15950.0,15750.0,15800.0,7899.0
005010.KS,20171212,15950.0,15950.0,15600.0,15900.0,9453.0
005010.KS,20171211,16100.0,16100.0,15850.0,15850.0,7814.0
005010.KS,20171208,15950.0,16100.0,15750.0,15950.0,8973.0
005010.KS,20171207,15950.0,16000.0,15650.0,15850.0,12573.0
005010.KS,20171206,16150.0,16200.0,15850.0,15900.0,4928.0
005010.KS,20171205,15950.0,16200.0,15750.0,16150.0,20762.0
005010.KS,20171204,15800.0,15950.0,15700.0,15950.0,14171.0
005010.KS,20171201,15950.0,15950.0,15650.0,15800.0,11151.0
005010.KS,20171130,15800.0,15850.0,15700.0,15800.0,4876.0
005010.KS,20171129,15700.0,15800.0,15600.0,15800.0,3659.0
005010.KS,20171128,15700.0,15750.0,15600.0,15650.0,4173.0
005010.KS,20171127,15950.0,15950.0,15600.0,15650.0,7789.0
005010.KS,20171124,16200.0,16200.0,15850.0,15950.0,7624.0
005010.KS,20171123,16050.0,16250.0,15800.0,16100.0,10851.0
005010.KS,20171122,16050.0,16050.0,15750.0,16050.0,16443.0
005010.KS,20171121,15950.0,16150.0,15850.0,16000.0,16571.0
005010.KS,20171120,15800.0,16150.0,15700.0,16100.0,33818.0
005010.KS,20171117,15700.0,15750.0,15400.0,15650.0,19296.0
005010.KS,20171116,15250.0,15700.0,15250.0,15700.0,30040.0
005010.KS,20171115,15150.0,15400.0,14950.0,15200.0,104414.0
005010.KS,20171114,15100.0,15200.0,14600.0,14750.0,57258.0
005010.KS,20171113,14900.0,15150.0,14700.0,15150.0,16776.0
005010.KS,20171110,14800.0,14800.0,14700.0,14800.0,4698.0
005010.KS,20171109,14650.0,15000.0,14600.0,14750.0,9400.0
005010.KS,20171108,14600.0,14700.0,14550.0,14600.0,4243.0
005010.KS,20171107,14600.0,14650.0,14550.0,14600.0,10556.0
005010.KS,20171106,14700.0,14800.0,14550.0,14550.0,6101.0
005010.KS,20171103,14650.0,14750.0,14600.0,14650.0,5559.0
005010.KS,20171102,14750.0,14750.0,14550.0,14650.0,6961.0
005010.KS,20171101,14600.0,14700.0,14550.0,14700.0,15574.0
005010.KS,20171031,14650.0,14650.0,14500.0,14600.0,9109.0
005010.KS,20171030,14700.0,14750.0,14500.0,14600.0,12557.0
005010.KS,20171027,14700.0,14700.0,14500.0,14700.0,8191.0
005010.KS,20171026,14750.0,14750.0,14550.0,14600.0,10917.0
005010.KS,20171025,14800.0,14800.0,14600.0,14650.0,7547.0
005010.KS,20171024,14500.0,14750.0,14500.0,14750.0,8035.0
005010.KS,20171023,14800.0,14800.0,14450.0,14500.0,14170.0
005010.KS,20171020,14750.0,14800.0,14600.0,14750.0,3337.0
005010.KS,20171019,14800.0,14800.0,14550.0,14600.0,6541.0
005010.KS,20171018,14850.0,14850.0,14500.0,14650.0,6582.0
005010.KS,20171017,14900.0,14900.0,14600.0,14650.0,5336.0
005010.KS,20171016,14900.0,15000.0,14700.0,14750.0,3054.0
005010.KS,20171013,14800.0,14850.0,14600.0,14800.0,5439.0
005010.KS,20171012,14800.0,14800.0,14650.0,14700.0,2933.0
005010.KS,20171011,14650.0,14750.0,14600.0,14750.0,3436.0
005010.KS,20171010,15100.0,15100.0,14600.0,14650.0,9247.0
005010.KS,20170929,15000.0,15100.0,14700.0,15000.0,4903.0
005010.KS,20170928,14800.0,14950.0,14450.0,14950.0,5066.0
005010.KS,20170927,14550.0,14750.0,14400.0,14700.0,3831.0
005010.KS,20170926,14500.0,14500.0,14500.0,14500.0,0.0
005010.KS,20170925,14850.0,14950.0,14500.0,14500.0,7824.0
005010.KS,20170921,15900.0,15900.0,15200.0,15250.0,14294.0
005010.KS,20170920,15700.0,15850.0,15500.0,15600.0,10540.0
005010.KS,20170919,16000.0,16000.0,15700.0,15750.0,3594.0
005010.KS,20170918,16050.0,16050.0,15700.0,15800.0,4741.0
005010.KS,20170915,15900.0,15950.0,15750.0,15800.0,5794.0
005010.KS,20170914,16150.0,16150.0,15800.0,16050.0,10127.0
005010.KS,20170913,16150.0,16150.0,15800.0,16050.0,8253.0
005010.KS,20170912,15900.0,16150.0,15750.0,16100.0,23615.0
005010.KS,20170911,16100.0,16150.0,15900.0,16000.0,18531.0
005010.KS,20170908,15850.0,16050.0,15600.0,16050.0,16435.0
005010.KS,20170907,15800.0,15900.0,15500.0,15750.0,5587.0
005010.KS,20170906,15850.0,15850.0,15450.0,15650.0,1419.0
005010.KS,20170905,15900.0,15900.0,15550.0,15700.0,2209.0
005010.KS,20170904,15550.0,15750.0,15450.0,15750.0,5372.0
005010.KS,20170901,16050.0,16050.0,15850.0,15950.0,1455.0
005010.KS,20170831,15950.0,16000.0,15750.0,15950.0,3516.0
005010.KS,20170830,16150.0,16150.0,15800.0,16000.0,4926.0
005010.KS,20170829,16000.0,16000.0,15800.0,16000.0,2339.0
