<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
003610.KS,20180518,21250.0,21350.0,21000.0,21350.0,3087.0
003610.KS,20180517,21000.0,21550.0,21000.0,21200.0,7409.0
003610.KS,20180516,20850.0,21500.0,20800.0,21000.0,7983.0
003610.KS,20180515,21200.0,21500.0,20850.0,21200.0,20289.0
003610.KS,20180514,20950.0,21350.0,20700.0,20800.0,11827.0
003610.KS,20180511,21000.0,21350.0,21000.0,21200.0,4883.0
003610.KS,20180510,21200.0,21250.0,20850.0,21050.0,12491.0
003610.KS,20180509,21200.0,21200.0,20700.0,21200.0,10214.0
003610.KS,20180508,20850.0,21400.0,20800.0,21200.0,8179.0
003610.KS,20180504,20600.0,21700.0,20550.0,21300.0,16970.0
003610.KS,20180503,20450.0,20750.0,20400.0,20600.0,9280.0
003610.KS,20180502,20000.0,20750.0,19950.0,20450.0,14906.0
003610.KS,20180430,20400.0,20550.0,20200.0,20400.0,8628.0
003610.KS,20180427,20350.0,20450.0,20250.0,20400.0,2118.0
003610.KS,20180426,20350.0,20450.0,19950.0,20400.0,3947.0
003610.KS,20180425,20250.0,20700.0,20150.0,20400.0,4046.0
003610.KS,20180424,19900.0,20800.0,19900.0,20350.0,11842.0
003610.KS,20180423,19650.0,20200.0,19650.0,20000.0,12623.0
003610.KS,20180420,19350.0,19650.0,19150.0,19650.0,3695.0
003610.KS,20180419,19000.0,19400.0,19000.0,19350.0,9145.0
003610.KS,20180418,18800.0,19200.0,18750.0,19000.0,2326.0
003610.KS,20180417,18800.0,18800.0,18600.0,18800.0,1750.0
003610.KS,20180416,18900.0,18900.0,18650.0,18700.0,1948.0
003610.KS,20180413,18950.0,18950.0,18600.0,18800.0,1644.0
003610.KS,20180412,19150.0,19150.0,18400.0,18950.0,8969.0
003610.KS,20180411,19100.0,19100.0,18750.0,18900.0,1299.0
003610.KS,20180410,19100.0,19100.0,18650.0,18950.0,1620.0
003610.KS,20180409,18950.0,19050.0,18850.0,18900.0,1662.0
003610.KS,20180406,18900.0,18950.0,18600.0,18950.0,1114.0
003610.KS,20180405,18650.0,19000.0,18500.0,18800.0,2844.0
003610.KS,20180404,18550.0,18950.0,18450.0,18550.0,3874.0
003610.KS,20180403,19150.0,19150.0,18700.0,18700.0,1089.0
003610.KS,20180402,18750.0,18850.0,18600.0,18850.0,1650.0
003610.KS,20180330,18750.0,19050.0,18500.0,18750.0,2925.0
003610.KS,20180329,18650.0,18750.0,18400.0,18750.0,1935.0
003610.KS,20180328,18600.0,18600.0,18400.0,18550.0,640.0
003610.KS,20180327,18900.0,18950.0,18200.0,18600.0,2821.0
003610.KS,20180326,18600.0,18800.0,18000.0,18800.0,2203.0
003610.KS,20180323,18700.0,18800.0,18250.0,18600.0,8771.0
003610.KS,20180322,19450.0,19450.0,18850.0,18850.0,2597.0
003610.KS,20180321,19100.0,19250.0,18850.0,18900.0,3644.0
003610.KS,20180320,18750.0,19050.0,18750.0,18950.0,6630.0
003610.KS,20180319,19050.0,19100.0,18800.0,18950.0,1918.0
003610.KS,20180316,19200.0,19250.0,18900.0,18950.0,3938.0
003610.KS,20180315,19300.0,19400.0,19000.0,19200.0,4024.0
003610.KS,20180314,19250.0,19650.0,19150.0,19300.0,838.0
003610.KS,20180313,19150.0,19200.0,19050.0,19150.0,922.0
003610.KS,20180312,19050.0,19150.0,18800.0,19150.0,3138.0
003610.KS,20180309,18800.0,19100.0,18700.0,19050.0,2022.0
003610.KS,20180308,19050.0,19050.0,18500.0,18950.0,2694.0
003610.KS,20180307,19100.0,19100.0,18500.0,18750.0,7096.0
003610.KS,20180306,19050.0,19100.0,18750.0,19100.0,1572.0
003610.KS,20180305,19250.0,19250.0,18800.0,18850.0,3548.0
003610.KS,20180302,19300.0,19300.0,18800.0,18950.0,23048.0
003610.KS,20180228,19500.0,19500.0,19200.0,19350.0,1852.0
003610.KS,20180227,19500.0,19500.0,19250.0,19300.0,5328.0
003610.KS,20180226,19550.0,19650.0,19300.0,19500.0,4360.0
003610.KS,20180223,19750.0,19900.0,19400.0,19550.0,2221.0
003610.KS,20180222,20100.0,20100.0,19450.0,19550.0,5591.0
003610.KS,20180221,20250.0,20250.0,19800.0,19900.0,3848.0
003610.KS,20180220,20000.0,20150.0,20000.0,20150.0,11585.0
003610.KS,20180219,20350.0,20350.0,20000.0,20050.0,15787.0
003610.KS,20180214,20400.0,20750.0,20150.0,20550.0,807.0
003610.KS,20180213,20600.0,20600.0,20350.0,20400.0,213.0
003610.KS,20180212,20550.0,20800.0,20500.0,20600.0,751.0
003610.KS,20180209,20200.0,20700.0,20000.0,20650.0,5048.0
003610.KS,20180208,20700.0,20950.0,19600.0,20400.0,7092.0
003610.KS,20180207,20700.0,21000.0,20550.0,21000.0,5711.0
003610.KS,20180206,20400.0,20950.0,19500.0,20900.0,5703.0
003610.KS,20180205,21150.0,21150.0,20300.0,20500.0,5997.0
003610.KS,20180202,21200.0,21400.0,20750.0,21300.0,5596.0
003610.KS,20180201,20400.0,21400.0,20400.0,21200.0,5920.0
003610.KS,20180131,20700.0,20700.0,20300.0,20400.0,4341.0
003610.KS,20180130,20100.0,20900.0,19900.0,20500.0,7742.0
003610.KS,20180129,19900.0,20150.0,19800.0,19900.0,5456.0
003610.KS,20180126,20000.0,20000.0,18750.0,19700.0,8505.0
003610.KS,20180125,19950.0,20000.0,19800.0,20000.0,2553.0
003610.KS,20180124,19950.0,19950.0,19650.0,19950.0,2456.0
003610.KS,20180123,19650.0,19850.0,19500.0,19850.0,2445.0
003610.KS,20180122,19750.0,19750.0,19300.0,19550.0,1432.0
003610.KS,20180119,19900.0,19900.0,19500.0,19800.0,1949.0
003610.KS,20180118,19550.0,20000.0,19200.0,19900.0,6503.0
003610.KS,20180117,19750.0,19750.0,19250.0,19300.0,3350.0
003610.KS,20180116,19550.0,19550.0,19350.0,19400.0,3291.0
003610.KS,20180115,19400.0,19550.0,19350.0,19550.0,3684.0
003610.KS,20180112,19700.0,19700.0,19500.0,19550.0,5790.0
003610.KS,20180111,19950.0,19950.0,19550.0,19700.0,8601.0
003610.KS,20180110,19800.0,19850.0,19500.0,19850.0,5433.0
003610.KS,20180109,19950.0,19950.0,19600.0,19700.0,2199.0
003610.KS,20180108,20050.0,20050.0,19550.0,19750.0,3975.0
003610.KS,20180105,19700.0,19800.0,19550.0,19800.0,3079.0
003610.KS,20180104,19900.0,19950.0,19500.0,19600.0,5496.0
003610.KS,20180103,19950.0,19950.0,19500.0,19850.0,6808.0
003610.KS,20180102,20000.0,20000.0,19600.0,19950.0,9301.0
003610.KS,20171228,20000.0,20000.0,19700.0,20000.0,1503.0
003610.KS,20171227,20250.0,20250.0,19600.0,19950.0,3594.0
003610.KS,20171226,20050.0,20250.0,20000.0,20250.0,3962.0
003610.KS,20171222,20200.0,20200.0,20000.0,20150.0,3796.0
003610.KS,20171221,20500.0,20500.0,20000.0,20100.0,7550.0
003610.KS,20171219,20800.0,20800.0,20300.0,20350.0,3515.0
003610.KS,20171218,20700.0,20700.0,20400.0,20400.0,990.0
003610.KS,20171215,20500.0,20700.0,20400.0,20600.0,5529.0
003610.KS,20171214,20750.0,20750.0,20400.0,20650.0,1327.0
003610.KS,20171213,21050.0,21050.0,20500.0,20500.0,3710.0
003610.KS,20171212,20850.0,21000.0,20500.0,21000.0,2011.0
003610.KS,20171211,20950.0,21000.0,20800.0,21000.0,767.0
003610.KS,20171208,21100.0,21150.0,20800.0,21000.0,1460.0
003610.KS,20171207,21400.0,21450.0,21000.0,21100.0,6860.0
003610.KS,20171206,20750.0,21700.0,20750.0,21400.0,3091.0
003610.KS,20171205,20700.0,21100.0,20700.0,21000.0,2439.0
003610.KS,20171204,21550.0,21550.0,20600.0,20700.0,5674.0
003610.KS,20171201,21500.0,21500.0,21300.0,21400.0,4680.0
003610.KS,20171130,20950.0,21450.0,20950.0,21350.0,6100.0
003610.KS,20171129,20950.0,21100.0,20700.0,21000.0,2994.0
003610.KS,20171128,20950.0,21100.0,20800.0,20850.0,3907.0
003610.KS,20171127,20400.0,20900.0,20300.0,20750.0,4825.0
003610.KS,20171124,20400.0,20400.0,20200.0,20300.0,3334.0
003610.KS,20171123,20100.0,20400.0,20050.0,20350.0,5588.0
003610.KS,20171122,20900.0,20900.0,19950.0,20100.0,21379.0
003610.KS,20171121,20550.0,20750.0,20400.0,20750.0,2986.0
003610.KS,20171120,20900.0,20900.0,20250.0,20550.0,5717.0
003610.KS,20171117,20350.0,21150.0,20350.0,20750.0,8154.0
003610.KS,20171116,20500.0,20650.0,20300.0,20600.0,4955.0
003610.KS,20171115,20350.0,20500.0,20250.0,20350.0,5505.0
003610.KS,20171114,20500.0,20500.0,20300.0,20500.0,1675.0
003610.KS,20171113,20500.0,20600.0,20300.0,20450.0,5466.0
003610.KS,20171110,20400.0,20550.0,20300.0,20500.0,1836.0
003610.KS,20171109,20450.0,20500.0,20250.0,20450.0,3042.0
003610.KS,20171108,20400.0,20400.0,20150.0,20400.0,3784.0
003610.KS,20171107,20400.0,20500.0,20150.0,20300.0,4009.0
003610.KS,20171106,20400.0,20400.0,20200.0,20300.0,2971.0
003610.KS,20171103,20350.0,20350.0,20150.0,20250.0,8047.0
003610.KS,20171102,20100.0,20350.0,20100.0,20200.0,8789.0
003610.KS,20171101,20200.0,20500.0,20050.0,20300.0,3117.0
003610.KS,20171031,20200.0,20250.0,20000.0,20200.0,4508.0
003610.KS,20171030,20500.0,20500.0,20050.0,20200.0,11036.0
003610.KS,20171027,20400.0,20400.0,20100.0,20300.0,3483.0
003610.KS,20171026,20550.0,20550.0,20100.0,20250.0,1059.0
003610.KS,20171025,20250.0,20600.0,20100.0,20250.0,421.0
003610.KS,20171024,20100.0,20250.0,20000.0,20250.0,1951.0
003610.KS,20171023,20100.0,20100.0,19950.0,20100.0,3228.0
003610.KS,20171020,20150.0,20150.0,20000.0,20050.0,8113.0
003610.KS,20171019,20350.0,20350.0,19900.0,20000.0,2108.0
003610.KS,20171018,20300.0,20350.0,20000.0,20100.0,1136.0
003610.KS,20171017,20000.0,20150.0,19950.0,20000.0,5123.0
003610.KS,20171016,20250.0,20400.0,20000.0,20100.0,3910.0
003610.KS,20171013,20450.0,20450.0,20000.0,20250.0,1439.0
003610.KS,20171012,20500.0,20500.0,20000.0,20200.0,638.0
003610.KS,20171011,20350.0,20350.0,19950.0,20000.0,6257.0
003610.KS,20171010,20450.0,20450.0,20200.0,20350.0,2031.0
003610.KS,20170929,21200.0,21200.0,20250.0,20450.0,299.0
003610.KS,20170928,20200.0,20400.0,20000.0,20400.0,3952.0
003610.KS,20170927,20250.0,20500.0,20000.0,20450.0,3130.0
003610.KS,20170926,19900.0,19900.0,19900.0,19900.0,0.0
003610.KS,20170925,20400.0,20400.0,19800.0,19900.0,6084.0
003610.KS,20170921,20600.0,20600.0,20350.0,20450.0,3130.0
003610.KS,20170920,20650.0,20800.0,20450.0,20600.0,1656.0
003610.KS,20170919,20600.0,20650.0,20450.0,20650.0,1088.0
003610.KS,20170918,20800.0,20800.0,20400.0,20600.0,2268.0
003610.KS,20170915,20700.0,20850.0,20500.0,20650.0,1450.0
003610.KS,20170914,20600.0,21050.0,20600.0,20850.0,1611.0
003610.KS,20170913,20600.0,20650.0,20300.0,20650.0,2500.0
003610.KS,20170912,20500.0,20700.0,20300.0,20500.0,5661.0
003610.KS,20170911,20500.0,20500.0,20300.0,20400.0,2151.0
003610.KS,20170908,20450.0,20450.0,20300.0,20300.0,1441.0
003610.KS,20170907,20500.0,20650.0,20200.0,20450.0,7284.0
003610.KS,20170906,20400.0,20500.0,20300.0,20500.0,3151.0
003610.KS,20170905,20450.0,20500.0,20300.0,20350.0,3848.0
003610.KS,20170904,20600.0,20600.0,20250.0,20350.0,2296.0
003610.KS,20170901,20550.0,20600.0,20400.0,20600.0,1652.0
003610.KS,20170831,20550.0,20600.0,20450.0,20450.0,652.0
003610.KS,20170830,20550.0,20550.0,20250.0,20500.0,4022.0
003610.KS,20170829,20700.0,20750.0,20400.0,20600.0,1660.0
003610.KS,20170828,20750.0,20750.0,20550.0,20700.0,2805.0
003610.KS,20170825,20750.0,20900.0,20550.0,20600.0,2723.0
003610.KS,20170824,20850.0,21000.0,20600.0,20750.0,681.0
003610.KS,20170823,20350.0,21200.0,20350.0,20900.0,2347.0
003610.KS,20170822,20200.0,20600.0,20200.0,20350.0,1648.0
003610.KS,20170821,20850.0,20850.0,20150.0,20200.0,7699.0
003610.KS,20170818,21050.0,21050.0,20550.0,20650.0,3171.0
003610.KS,20170817,20500.0,21100.0,20400.0,21100.0,4016.0
003610.KS,20170816,20900.0,20900.0,20100.0,20750.0,4607.0
003610.KS,20170814,20850.0,20900.0,20650.0,20800.0,525.0
003610.KS,20170811,20950.0,21000.0,20550.0,20700.0,7505.0
003610.KS,20170810,21350.0,21350.0,20600.0,21100.0,4276.0
003610.KS,20170809,21300.0,21550.0,21200.0,21250.0,5906.0
003610.KS,20170808,21500.0,21600.0,21250.0,21500.0,2401.0
003610.KS,20170807,21500.0,21500.0,21300.0,21400.0,1316.0
003610.KS,20170804,21650.0,21650.0,21200.0,21450.0,3074.0
003610.KS,20170803,21750.0,21750.0,21500.0,21550.0,3155.0
003610.KS,20170802,21850.0,21850.0,21650.0,21800.0,1146.0
003610.KS,20170801,21900.0,21900.0,21600.0,21850.0,1420.0
003610.KS,20170731,21450.0,21900.0,21450.0,21850.0,2819.0
003610.KS,20170728,21850.0,21900.0,21600.0,21650.0,4565.0
003610.KS,20170727,22000.0,22000.0,21750.0,21850.0,5653.0
003610.KS,20170726,22000.0,22000.0,21800.0,22000.0,7314.0
003610.KS,20170725,22000.0,22000.0,21900.0,22000.0,2553.0
003610.KS,20170724,22050.0,22050.0,21800.0,22000.0,5927.0
003610.KS,20170721,21900.0,22100.0,21900.0,22000.0,3504.0
003610.KS,20170720,22100.0,22100.0,21950.0,22100.0,1729.0
003610.KS,20170719,22100.0,22100.0,21950.0,22050.0,2972.0
003610.KS,20170718,22000.0,22150.0,21850.0,22000.0,7179.0
003610.KS,20170717,22300.0,22300.0,22000.0,22000.0,3151.0
003610.KS,20170714,22150.0,22400.0,22050.0,22100.0,1664.0
003610.KS,20170713,22150.0,22300.0,22100.0,22150.0,678.0
003610.KS,20170712,22200.0,22350.0,21850.0,22200.0,6262.0
003610.KS,20170711,22200.0,22300.0,22150.0,22200.0,1392.0
003610.KS,20170710,22450.0,22450.0,22000.0,22200.0,2735.0
003610.KS,20170707,22700.0,22700.0,22250.0,22250.0,1159.0
003610.KS,20170706,22600.0,23300.0,22500.0,22700.0,2259.0
003610.KS,20170705,22300.0,22500.0,22300.0,22500.0,4956.0
003610.KS,20170704,22300.0,22450.0,22100.0,22300.0,3126.0
003610.KS,20170703,22400.0,22450.0,22050.0,22250.0,1983.0
003610.KS,20170630,22450.0,22450.0,22150.0,22350.0,2266.0
003610.KS,20170629,22300.0,22450.0,22300.0,22450.0,1331.0
003610.KS,20170628,22400.0,22950.0,22200.0,22500.0,3415.0
003610.KS,20170627,22950.0,22950.0,22250.0,22400.0,4584.0
003610.KS,20170626,22800.0,22800.0,22250.0,22500.0,8560.0
003610.KS,20170623,22950.0,22950.0,22500.0,22800.0,1717.0
003610.KS,20170622,23000.0,23000.0,22800.0,22950.0,3893.0
003610.KS,20170621,22500.0,23000.0,22500.0,23000.0,4033.0
003610.KS,20170620,23000.0,23500.0,22750.0,22850.0,3478.0
003610.KS,20170619,22800.0,23050.0,22700.0,23000.0,5181.0
003610.KS,20170616,23200.0,23200.0,22950.0,23000.0,5596.0
003610.KS,20170615,23350.0,23800.0,23100.0,23200.0,4806.0
003610.KS,20170614,23750.0,23800.0,23350.0,23350.0,2876.0
003610.KS,20170613,23700.0,23750.0,23600.0,23750.0,7554.0
003610.KS,20170612,24200.0,24200.0,23500.0,23700.0,3383.0
003610.KS,20170609,24200.0,24200.0,23000.0,24150.0,2876.0
003610.KS,20170608,24350.0,24350.0,23950.0,24300.0,5829.0
003610.KS,20170607,24400.0,24400.0,23900.0,24300.0,10947.0
003610.KS,20170605,23150.0,24200.0,23150.0,23900.0,8215.0
