<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
017960.KS,20180518,6850.0,6950.0,6710.0,6740.0,198592.0
017960.KS,20180517,6660.0,6930.0,6650.0,6850.0,769907.0
017960.KS,20180516,6660.0,6740.0,6500.0,6510.0,339229.0
017960.KS,20180515,6680.0,6830.0,6610.0,6770.0,439073.0
017960.KS,20180514,6430.0,6700.0,6410.0,6670.0,661565.0
017960.KS,20180511,6380.0,6460.0,6250.0,6340.0,369193.0
017960.KS,20180510,6280.0,6390.0,6150.0,6380.0,288073.0
017960.KS,20180509,6330.0,6340.0,6120.0,6250.0,355304.0
017960.KS,20180508,6270.0,6390.0,6200.0,6200.0,459004.0
017960.KS,20180504,6090.0,6870.0,6060.0,6180.0,2373830.0
017960.KS,20180503,6090.0,6090.0,5910.0,5990.0,214329.0
017960.KS,20180502,6000.0,6090.0,5950.0,6070.0,221205.0
017960.KS,20180430,6030.0,6050.0,5910.0,5990.0,171878.0
017960.KS,20180427,6110.0,6130.0,5970.0,6040.0,198430.0
017960.KS,20180426,6110.0,6150.0,6020.0,6110.0,265500.0
017960.KS,20180425,5910.0,6220.0,5890.0,6100.0,756726.0
017960.KS,20180424,5910.0,5950.0,5800.0,5860.0,206146.0
017960.KS,20180423,5980.0,6020.0,5900.0,5900.0,191155.0
017960.KS,20180420,5950.0,6030.0,5870.0,6030.0,325625.0
017960.KS,20180419,5760.0,5960.0,5730.0,5920.0,281688.0
017960.KS,20180418,5830.0,5840.0,5660.0,5760.0,320593.0
017960.KS,20180417,5890.0,5890.0,5750.0,5770.0,211369.0
017960.KS,20180416,5930.0,5970.0,5860.0,5890.0,182107.0
017960.KS,20180413,6090.0,6100.0,5920.0,5950.0,323789.0
017960.KS,20180412,5780.0,6110.0,5740.0,6110.0,979043.0
017960.KS,20180411,5650.0,5760.0,5450.0,5720.0,363853.0
017960.KS,20180410,5600.0,5670.0,5490.0,5600.0,268245.0
017960.KS,20180409,5640.0,5680.0,5540.0,5590.0,187642.0
017960.KS,20180406,5670.0,5790.0,5600.0,5650.0,378098.0
017960.KS,20180405,5710.0,5790.0,5700.0,5710.0,362369.0
017960.KS,20180404,5730.0,5910.0,5670.0,5690.0,342655.0
017960.KS,20180403,5940.0,5980.0,5760.0,5820.0,620548.0
017960.KS,20180402,6240.0,6280.0,5940.0,5990.0,485785.0
017960.KS,20180330,6310.0,6320.0,6150.0,6260.0,334879.0
017960.KS,20180329,6400.0,6400.0,6200.0,6250.0,183595.0
