<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
000810.KS,20180518,265000.0,266500.0,264000.0,266500.0,38781
000810.KS,20180517,265500.0,267500.0,265500.0,266000.0,52800
000810.KS,20180516,265000.0,268500.0,265000.0,267000.0,51650
000810.KS,20180515,268500.0,269500.0,265000.0,265000.0,65582
000810.KS,20180514,268000.0,270500.0,268000.0,268500.0,75759
000810.KS,20180511,268500.0,271000.0,267500.0,269500.0,51103
000810.KS,20180510,269000.0,272000.0,268500.0,269500.0,69540
000810.KS,20180509,270000.0,273000.0,268000.0,272000.0,82237
000810.KS,20180508,270000.0,271500.0,267000.0,271500.0,99036
000810.KS,20180504,268000.0,270500.0,266000.0,270000.0,168701
000810.KS,20180503,268000.0,271500.0,267500.0,271000.0,63539
000810.KS,20180502,268000.0,269000.0,266000.0,267000.0,45865
000810.KS,20180430,267500.0,270500.0,267500.0,267500.0,54000
000810.KS,20180427,269000.0,272000.0,267500.0,267500.0,53872
000810.KS,20180426,269500.0,272000.0,269000.0,269500.0,42192
000810.KS,20180425,270500.0,271500.0,267500.0,271500.0,47602
000810.KS,20180424,268000.0,271000.0,267500.0,269000.0,70180
000810.KS,20180423,267500.0,269000.0,267000.0,268500.0,47983
000810.KS,20180420,267000.0,269000.0,265500.0,269000.0,55410
000810.KS,20180419,264500.0,268000.0,264500.0,267000.0,46757
000810.KS,20180418,263500.0,267000.0,263500.0,265500.0,60426
000810.KS,20180417,263000.0,265000.0,263000.0,263000.0,34864
000810.KS,20180416,265500.0,266000.0,263500.0,264500.0,23515
000810.KS,20180413,263500.0,265000.0,263000.0,264500.0,39089
000810.KS,20180412,264500.0,266000.0,263500.0,263500.0,53646
000810.KS,20180411,265500.0,269000.0,264000.0,264500.0,55530
000810.KS,20180410,264000.0,269500.0,263000.0,269500.0,65942
000810.KS,20180409,264500.0,265500.0,263000.0,265500.0,38781
000810.KS,20180406,266500.0,266500.0,262000.0,265000.0,86331
000810.KS,20180405,268000.0,269000.0,266000.0,267000.0,35708
000810.KS,20180404,265500.0,271000.0,265500.0,267500.0,56806
000810.KS,20180403,269500.0,270000.0,265500.0,266000.0,62711
000810.KS,20180402,268500.0,272500.0,267500.0,269500.0,37545
000810.KS,20180330,270500.0,271500.0,269000.0,270500.0,38513
000810.KS,20180329,270000.0,272500.0,267500.0,268000.0,82423
000810.KS,20180328,273500.0,275000.0,270000.0,271500.0,56151
000810.KS,20180327,275000.0,276500.0,273000.0,274500.0,53846
000810.KS,20180326,274000.0,277000.0,273000.0,276500.0,27347
000810.KS,20180323,279000.0,280000.0,274000.0,277000.0,55719
000810.KS,20180322,281000.0,287500.0,281000.0,282000.0,49298
000810.KS,20180321,279000.0,282500.0,279000.0,282000.0,45845
000810.KS,20180320,278000.0,282500.0,278000.0,281500.0,46445
000810.KS,20180319,280000.0,282500.0,278000.0,280500.0,31794
000810.KS,20180316,279000.0,281000.0,277500.0,280000.0,90515
000810.KS,20180315,279500.0,279500.0,274500.0,277500.0,61583
000810.KS,20180314,276500.0,280000.0,276000.0,278000.0,52728
000810.KS,20180313,277500.0,279500.0,275500.0,276500.0,126809
