<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
023800.KS,20180518,6870.0,7270.0,6800.0,7120.0,125378.0
023800.KS,20180517,6830.0,7070.0,6820.0,6880.0,115476.0
023800.KS,20180516,7070.0,7130.0,6740.0,6770.0,280934.0
023800.KS,20180515,7440.0,7630.0,7330.0,7430.0,227079.0
023800.KS,20180514,7380.0,7470.0,7180.0,7420.0,159137.0
023800.KS,20180511,7290.0,7390.0,7130.0,7350.0,137544.0
023800.KS,20180510,6930.0,7250.0,6920.0,7230.0,82541.0
023800.KS,20180509,6900.0,7100.0,6700.0,6910.0,160508.0
023800.KS,20180508,7330.0,7370.0,7030.0,7030.0,171151.0
023800.KS,20180504,7140.0,7420.0,7090.0,7370.0,176038.0
023800.KS,20180503,7500.0,7560.0,7180.0,7180.0,204148.0
023800.KS,20180502,7240.0,7560.0,7240.0,7440.0,391759.0
023800.KS,20180430,7000.0,7530.0,7000.0,7290.0,469981.0
023800.KS,20180427,7200.0,7200.0,6920.0,6980.0,137908.0
023800.KS,20180426,7290.0,7330.0,7120.0,7150.0,108050.0
023800.KS,20180425,7230.0,7490.0,7130.0,7160.0,191248.0
023800.KS,20180424,7340.0,7490.0,7080.0,7290.0,236567.0
023800.KS,20180423,7560.0,7790.0,7200.0,7340.0,974848.0
023800.KS,20180420,7510.0,7530.0,7120.0,7300.0,360067.0
023800.KS,20180419,7200.0,7700.0,7070.0,7310.0,1277128.0
023800.KS,20180418,6900.0,7200.0,6720.0,7060.0,462690.0
023800.KS,20180417,6490.0,6850.0,6490.0,6760.0,321037.0
023800.KS,20180416,6600.0,6610.0,6410.0,6490.0,102810.0
023800.KS,20180413,6370.0,6560.0,6370.0,6510.0,159178.0
023800.KS,20180412,6270.0,6450.0,6270.0,6350.0,104305.0
023800.KS,20180411,6300.0,6310.0,6200.0,6270.0,78992.0
023800.KS,20180410,6250.0,6400.0,6080.0,6210.0,170239.0
023800.KS,20180409,6350.0,6490.0,6180.0,6250.0,181342.0
023800.KS,20180406,6700.0,6730.0,6360.0,6410.0,278545.0
023800.KS,20180405,6800.0,6800.0,6590.0,6690.0,122262.0
023800.KS,20180404,6860.0,6990.0,6620.0,6700.0,147694.0
023800.KS,20180403,6890.0,7090.0,6810.0,6920.0,111394.0
023800.KS,20180402,7210.0,7240.0,6910.0,6910.0,179063.0
023800.KS,20180330,7160.0,7360.0,7160.0,7240.0,234071.0
023800.KS,20180329,7160.0,7220.0,7050.0,7100.0,127555.0
023800.KS,20180328,6700.0,7350.0,6700.0,7150.0,502818.0
023800.KS,20180327,6850.0,6950.0,6770.0,6830.0,126917.0
023800.KS,20180326,6550.0,6770.0,6400.0,6770.0,239391.0
023800.KS,20180323,7150.0,7190.0,6490.0,6580.0,394192.0
023800.KS,20180322,7770.0,7850.0,7230.0,7230.0,1008444.0
023800.KS,20180321,7270.0,7760.0,7260.0,7350.0,860136.0
023800.KS,20180320,7210.0,7340.0,7140.0,7270.0,158930.0
023800.KS,20180319,7490.0,7520.0,7270.0,7320.0,261449.0
023800.KS,20180316,7280.0,7490.0,7110.0,7420.0,560693.0
023800.KS,20180315,7360.0,7380.0,7160.0,7230.0,140490.0
023800.KS,20180314,7350.0,7480.0,7280.0,7310.0,206596.0
023800.KS,20180313,7690.0,7700.0,7290.0,7360.0,470823.0
023800.KS,20180312,7700.0,7740.0,7540.0,7720.0,502646.0
023800.KS,20180309,8080.0,8180.0,7480.0,7680.0,1463930.0
023800.KS,20180308,7720.0,7850.0,7400.0,7850.0,1641581.0
023800.KS,20180307,7130.0,8000.0,7010.0,7600.0,4754692.0
023800.KS,20180306,6910.0,6930.0,6740.0,6880.0,131086.0
023800.KS,20180305,6600.0,6940.0,6570.0,6860.0,412550.0
023800.KS,20180302,6510.0,6740.0,6500.0,6550.0,80538.0
023800.KS,20180228,6730.0,6730.0,6540.0,6570.0,117936.0
023800.KS,20180227,6820.0,6950.0,6680.0,6730.0,133497.0
023800.KS,20180226,6990.0,7000.0,6790.0,6810.0,136091.0
023800.KS,20180223,7080.0,7100.0,6900.0,6900.0,140691.0
023800.KS,20180222,7080.0,7320.0,7010.0,7010.0,404912.0
023800.KS,20180221,7100.0,7240.0,7030.0,7050.0,262760.0
023800.KS,20180220,7200.0,7200.0,6970.0,7070.0,161125.0
023800.KS,20180219,6950.0,7200.0,6840.0,7180.0,407224.0
023800.KS,20180214,7150.0,7220.0,6910.0,7000.0,168880.0
023800.KS,20180213,6830.0,7280.0,6780.0,7150.0,423957.0
023800.KS,20180212,7120.0,7180.0,6800.0,6810.0,245927.0
023800.KS,20180209,6730.0,7110.0,6700.0,7030.0,381614.0
023800.KS,20180208,6610.0,7090.0,6610.0,6930.0,474749.0
023800.KS,20180207,7150.0,7150.0,6700.0,6700.0,419224.0
023800.KS,20180206,6670.0,7090.0,6420.0,6930.0,635821.0
023800.KS,20180205,7600.0,8060.0,7000.0,7000.0,2358359.0
023800.KS,20180202,7780.0,7780.0,7490.0,7670.0,442303.0
023800.KS,20180201,7600.0,7740.0,7450.0,7710.0,586184.0
023800.KS,20180131,7700.0,7740.0,7370.0,7510.0,927998.0
023800.KS,20180130,7700.0,7980.0,7620.0,7940.0,912981.0
023800.KS,20180129,7750.0,7970.0,7610.0,7800.0,1305437.0
023800.KS,20180126,8230.0,8230.0,7600.0,7730.0,2456134.0
023800.KS,20180125,6440.0,8380.0,6440.0,8110.0,4598982.0
023800.KS,20180124,6660.0,6780.0,6390.0,6450.0,417925.0
023800.KS,20180123,6450.0,6820.0,6340.0,6600.0,816908.0
023800.KS,20180122,6110.0,6490.0,6100.0,6400.0,738181.0
023800.KS,20180119,6070.0,6160.0,6030.0,6050.0,155883.0
023800.KS,20180118,5990.0,6130.0,5930.0,6050.0,163402.0
023800.KS,20180117,5930.0,5970.0,5780.0,5920.0,131295.0
023800.KS,20180116,5830.0,6000.0,5790.0,5930.0,146282.0
023800.KS,20180115,5850.0,5900.0,5730.0,5760.0,145312.0
023800.KS,20180112,6000.0,6100.0,5800.0,5900.0,185005.0
023800.KS,20180111,6100.0,6140.0,5990.0,6050.0,91298.0
023800.KS,20180110,6010.0,6130.0,6010.0,6090.0,137875.0
023800.KS,20180109,6130.0,6160.0,5990.0,5990.0,117590.0
023800.KS,20180108,6260.0,6260.0,6090.0,6130.0,130532.0
023800.KS,20180105,6050.0,6260.0,6050.0,6200.0,236243.0
023800.KS,20180104,6150.0,6170.0,5980.0,6050.0,142424.0
023800.KS,20180103,6120.0,6190.0,6060.0,6140.0,231074.0
023800.KS,20180102,5810.0,6170.0,5770.0,6140.0,339563.0
023800.KS,20171228,5700.0,5730.0,5620.0,5680.0,86834.0
023800.KS,20171227,5650.0,5730.0,5600.0,5660.0,76673.0
023800.KS,20171226,5770.0,5880.0,5650.0,5670.0,100499.0
023800.KS,20171222,5650.0,5790.0,5610.0,5770.0,56112.0
023800.KS,20171221,5770.0,5930.0,5660.0,5670.0,101413.0
023800.KS,20171219,6050.0,6070.0,5800.0,5860.0,177541.0
023800.KS,20171218,6080.0,6150.0,5970.0,5980.0,106619.0
023800.KS,20171215,6080.0,6190.0,6040.0,6130.0,70860.0
023800.KS,20171214,6080.0,6240.0,6030.0,6100.0,129749.0
023800.KS,20171213,5960.0,6070.0,5920.0,6030.0,79830.0
023800.KS,20171212,6120.0,6120.0,5940.0,5960.0,66132.0
023800.KS,20171211,6030.0,6040.0,5880.0,6010.0,65362.0
023800.KS,20171208,6050.0,6120.0,5970.0,5970.0,100604.0
023800.KS,20171207,6300.0,6320.0,5950.0,6070.0,289459.0
023800.KS,20171206,6340.0,6450.0,6200.0,6300.0,109814.0
023800.KS,20171205,6250.0,6430.0,6150.0,6330.0,199008.0
023800.KS,20171204,6380.0,6430.0,6210.0,6290.0,187529.0
023800.KS,20171201,6400.0,6420.0,6260.0,6380.0,114262.0
023800.KS,20171130,6490.0,6580.0,6270.0,6350.0,187113.0
023800.KS,20171129,6510.0,6590.0,6380.0,6480.0,201624.0
023800.KS,20171128,6800.0,6800.0,6520.0,6530.0,225487.0
023800.KS,20171127,6680.0,6820.0,6520.0,6740.0,325278.0
023800.KS,20171124,6850.0,6970.0,6620.0,6620.0,350583.0
023800.KS,20171123,7060.0,7170.0,6810.0,6810.0,471946.0
023800.KS,20171122,6940.0,7140.0,6700.0,6990.0,882324.0
023800.KS,20171121,6940.0,6970.0,6550.0,6960.0,970837.0
023800.KS,20171120,6240.0,6870.0,6230.0,6840.0,1523236.0
023800.KS,20171117,6140.0,6340.0,6050.0,6240.0,430595.0
023800.KS,20171116,5920.0,6290.0,5820.0,6110.0,653885.0
023800.KS,20171115,6220.0,6260.0,5800.0,5900.0,578846.0
023800.KS,20171114,6340.0,6370.0,6220.0,6290.0,230047.0
023800.KS,20171113,6360.0,6450.0,6250.0,6330.0,175551.0
023800.KS,20171110,6200.0,6450.0,6200.0,6310.0,481431.0
023800.KS,20171109,6100.0,6200.0,6050.0,6200.0,167963.0
023800.KS,20171108,6100.0,6130.0,5980.0,6050.0,141216.0
023800.KS,20171107,6200.0,6210.0,6050.0,6090.0,200764.0
023800.KS,20171106,6200.0,6310.0,6050.0,6210.0,212466.0
023800.KS,20171103,6200.0,6290.0,6110.0,6150.0,176111.0
023800.KS,20171102,6180.0,6370.0,6080.0,6230.0,383934.0
023800.KS,20171101,6050.0,6190.0,6040.0,6150.0,260273.0
023800.KS,20171031,5940.0,6040.0,5860.0,6030.0,193687.0
023800.KS,20171030,6130.0,6130.0,5870.0,5890.0,326209.0
023800.KS,20171027,6220.0,6230.0,6060.0,6100.0,179510.0
023800.KS,20171026,6080.0,6350.0,6040.0,6200.0,310100.0
023800.KS,20171025,6340.0,6450.0,6060.0,6070.0,292900.0
023800.KS,20171024,6190.0,6500.0,6120.0,6360.0,509382.0
023800.KS,20171023,6200.0,6280.0,6060.0,6180.0,297641.0
023800.KS,20171020,5990.0,6200.0,5900.0,6190.0,526546.0
023800.KS,20171019,5810.0,6090.0,5810.0,5960.0,407758.0
023800.KS,20171018,5970.0,5970.0,5750.0,5830.0,234746.0
023800.KS,20171017,5800.0,5970.0,5780.0,5940.0,216868.0
023800.KS,20171016,5910.0,6060.0,5750.0,5800.0,345961.0
023800.KS,20171013,6010.0,6120.0,5750.0,5820.0,313604.0
023800.KS,20171012,6270.0,6320.0,6000.0,6010.0,349572.0
023800.KS,20171011,6100.0,6510.0,6080.0,6250.0,622855.0
023800.KS,20171010,6000.0,6120.0,5900.0,5990.0,279672.0
023800.KS,20170929,6110.0,6390.0,5900.0,6000.0,557681.0
023800.KS,20170928,6450.0,6580.0,6100.0,6100.0,455904.0
023800.KS,20170927,6310.0,6490.0,6250.0,6450.0,423702.0
023800.KS,20170926,6330.0,6330.0,6330.0,6330.0,0.0
023800.KS,20170925,6330.0,6540.0,6080.0,6330.0,798405.0
023800.KS,20170921,6780.0,6840.0,6450.0,6810.0,1012999.0
023800.KS,20170920,7440.0,7460.0,6710.0,6780.0,1264617.0
023800.KS,20170919,7420.0,8500.0,7080.0,7400.0,5821526.0
023800.KS,20170918,7530.0,7550.0,7210.0,7340.0,1312480.0
023800.KS,20170915,6330.0,8050.0,6210.0,7380.0,9709576.0
023800.KS,20170914,6450.0,6590.0,6200.0,6280.0,1270626.0
023800.KS,20170913,5680.0,6630.0,5600.0,6250.0,4883224.0
023800.KS,20170912,5180.0,6000.0,5170.0,5640.0,2560918.0
023800.KS,20170911,5380.0,5470.0,5140.0,5150.0,233915.0
023800.KS,20170908,5570.0,5640.0,5370.0,5420.0,164635.0
023800.KS,20170907,5460.0,5600.0,5430.0,5580.0,178223.0
023800.KS,20170906,5400.0,5440.0,5310.0,5420.0,109386.0
023800.KS,20170905,5510.0,5510.0,5320.0,5380.0,161857.0
023800.KS,20170904,5310.0,5640.0,5280.0,5460.0,264664.0
023800.KS,20170901,5680.0,5790.0,5560.0,5570.0,279244.0
023800.KS,20170831,5600.0,5730.0,5570.0,5630.0,402422.0
023800.KS,20170830,5500.0,5610.0,5400.0,5610.0,250650.0
023800.KS,20170829,5400.0,5650.0,5320.0,5530.0,322457.0
023800.KS,20170828,5500.0,5500.0,5350.0,5440.0,207211.0
023800.KS,20170825,5610.0,5630.0,5450.0,5460.0,302857.0
023800.KS,20170824,5580.0,5720.0,5430.0,5610.0,874740.0
023800.KS,20170823,5500.0,5630.0,5390.0,5560.0,609593.0
023800.KS,20170822,5650.0,5740.0,5440.0,5510.0,610285.0
023800.KS,20170821,5730.0,5830.0,5540.0,5680.0,999901.0
023800.KS,20170818,4910.0,6160.0,4905.0,5580.0,6560986.0
023800.KS,20170817,4895.0,4985.0,4895.0,4950.0,42235.0
023800.KS,20170816,4880.0,4945.0,4840.0,4935.0,66047.0
023800.KS,20170814,4915.0,4955.0,4830.0,4860.0,50601.0
023800.KS,20170811,5010.0,5030.0,4870.0,4910.0,105121.0
023800.KS,20170810,5170.0,5170.0,4990.0,5090.0,69776.0
023800.KS,20170809,5050.0,5170.0,5050.0,5140.0,75294.0
023800.KS,20170808,5170.0,5200.0,5070.0,5130.0,41824.0
023800.KS,20170807,5150.0,5190.0,5100.0,5170.0,43566.0
023800.KS,20170804,5130.0,5150.0,5060.0,5150.0,25211.0
023800.KS,20170803,5160.0,5210.0,5030.0,5150.0,27471.0
023800.KS,20170802,5150.0,5230.0,5110.0,5210.0,17324.0
023800.KS,20170801,5120.0,5180.0,5090.0,5150.0,30639.0
023800.KS,20170731,5150.0,5150.0,4990.0,5110.0,60680.0
023800.KS,20170728,5290.0,5290.0,5080.0,5180.0,49616.0
023800.KS,20170727,5260.0,5270.0,5100.0,5210.0,64257.0
023800.KS,20170726,5280.0,5330.0,5200.0,5260.0,51643.0
023800.KS,20170725,5290.0,5370.0,5280.0,5280.0,41734.0
023800.KS,20170724,5290.0,5330.0,5260.0,5320.0,46735.0
023800.KS,20170721,5320.0,5380.0,5280.0,5290.0,58201.0
023800.KS,20170720,5310.0,5350.0,5280.0,5350.0,59550.0
023800.KS,20170719,5340.0,5340.0,5240.0,5320.0,39977.0
023800.KS,20170718,5370.0,5370.0,5230.0,5330.0,101015.0
023800.KS,20170717,5230.0,5380.0,5150.0,5370.0,118315.0
023800.KS,20170714,5420.0,5460.0,5170.0,5200.0,119638.0
023800.KS,20170713,5190.0,5690.0,5180.0,5370.0,298500.0
023800.KS,20170712,5190.0,5240.0,5160.0,5210.0,35972.0
023800.KS,20170711,5160.0,5190.0,5130.0,5190.0,26567.0
023800.KS,20170710,5280.0,5280.0,5070.0,5160.0,90581.0
023800.KS,20170707,5300.0,5340.0,5150.0,5230.0,118193.0
023800.KS,20170706,5440.0,5440.0,5300.0,5350.0,46885.0
023800.KS,20170705,5350.0,5460.0,5350.0,5440.0,38661.0
023800.KS,20170704,5520.0,5580.0,5300.0,5370.0,87430.0
023800.KS,20170703,5600.0,5610.0,5470.0,5510.0,61760.0
023800.KS,20170630,5320.0,5640.0,5320.0,5570.0,155835.0
023800.KS,20170629,5390.0,5430.0,5320.0,5340.0,52060.0
023800.KS,20170628,5360.0,5430.0,5360.0,5400.0,15504.0
023800.KS,20170627,5450.0,5460.0,5340.0,5380.0,60193.0
023800.KS,20170626,5580.0,5580.0,5400.0,5450.0,40705.0
023800.KS,20170623,5440.0,5520.0,5370.0,5500.0,54252.0
023800.KS,20170622,5430.0,5460.0,5350.0,5440.0,51182.0
023800.KS,20170621,5410.0,5490.0,5400.0,5420.0,62031.0
023800.KS,20170620,5600.0,5600.0,5400.0,5470.0,108786.0
023800.KS,20170619,5640.0,5640.0,5520.0,5540.0,59606.0
023800.KS,20170616,5520.0,5660.0,5510.0,5640.0,52673.0
023800.KS,20170615,5640.0,5640.0,5500.0,5530.0,76270.0
023800.KS,20170614,5690.0,5690.0,5590.0,5650.0,96287.0
023800.KS,20170613,5650.0,5670.0,5530.0,5670.0,89934.0
023800.KS,20170612,5490.0,5580.0,5460.0,5580.0,102472.0
023800.KS,20170609,5530.0,5570.0,5470.0,5530.0,41888.0
023800.KS,20170608,5660.0,5660.0,5480.0,5500.0,94892.0
023800.KS,20170607,5500.0,5660.0,5400.0,5600.0,146325.0
023800.KS,20170605,5670.0,5690.0,5500.0,5530.0,122500.0
023800.KS,20170602,5720.0,5720.0,5570.0,5650.0,72710.0
023800.KS,20170601,5690.0,5700.0,5620.0,5690.0,61651.0
023800.KS,20170531,5620.0,5720.0,5620.0,5690.0,78420.0
023800.KS,20170530,5580.0,5680.0,5570.0,5620.0,125032.0
023800.KS,20170529,5810.0,5830.0,5550.0,5580.0,395536.0
023800.KS,20170526,5870.0,5900.0,5750.0,5840.0,158593.0
023800.KS,20170525,5930.0,5950.0,5850.0,5870.0,104551.0
023800.KS,20170524,6000.0,6070.0,5910.0,5930.0,131420.0
023800.KS,20170523,5930.0,6060.0,5810.0,6030.0,267798.0
023800.KS,20170522,5910.0,6000.0,5810.0,5860.0,166620.0
023800.KS,20170519,5940.0,5950.0,5800.0,5940.0,149168.0
023800.KS,20170518,5940.0,6020.0,5810.0,5910.0,271657.0
023800.KS,20170517,5930.0,6070.0,5910.0,5940.0,222112.0
023800.KS,20170516,6050.0,6200.0,5900.0,5930.0,494529.0
023800.KS,20170515,6070.0,6170.0,6050.0,6110.0,448450.0
023800.KS,20170512,6230.0,6310.0,6120.0,6270.0,804846.0
023800.KS,20170511,5660.0,6800.0,5630.0,6250.0,6718495.0
023800.KS,20170510,5400.0,5640.0,5270.0,5510.0,544929.0
023800.KS,20170508,5560.0,5560.0,5330.0,5370.0,232700.0
023800.KS,20170504,5450.0,5550.0,5400.0,5520.0,174830.0
023800.KS,20170502,5400.0,5500.0,5310.0,5480.0,362414.0
023800.KS,20170428,5480.0,5750.0,5250.0,5350.0,855698.0
023800.KS,20170427,5130.0,5510.0,5120.0,5300.0,927305.0
023800.KS,20170426,5180.0,5250.0,5120.0,5130.0,300074.0
023800.KS,20170425,4935.0,5420.0,4935.0,5130.0,1405264.0
023800.KS,20170424,4895.0,4925.0,4870.0,4895.0,20932.0
023800.KS,20170421,4850.0,4910.0,4850.0,4885.0,14322.0
023800.KS,20170420,4865.0,4885.0,4830.0,4855.0,22633.0
023800.KS,20170419,4920.0,4920.0,4850.0,4865.0,31746.0
023800.KS,20170418,4920.0,4920.0,4865.0,4900.0,4517.0
023800.KS,20170417,4875.0,4910.0,4870.0,4900.0,12850.0
023800.KS,20170414,4870.0,4900.0,4845.0,4870.0,13873.0
023800.KS,20170413,4865.0,4895.0,4850.0,4870.0,10908.0
023800.KS,20170412,4820.0,4865.0,4820.0,4865.0,37335.0
023800.KS,20170411,4865.0,4865.0,4800.0,4820.0,18614.0
023800.KS,20170410,4920.0,4925.0,4770.0,4810.0,84493.0
023800.KS,20170407,4925.0,4925.0,4895.0,4920.0,42326.0
023800.KS,20170406,4955.0,4960.0,4900.0,4915.0,34267.0
023800.KS,20170405,4990.0,4990.0,4910.0,4955.0,38098.0
023800.KS,20170404,4990.0,4995.0,4960.0,4990.0,28572.0
023800.KS,20170403,4990.0,4990.0,4960.0,4990.0,25562.0
023800.KS,20170331,4920.0,4960.0,4910.0,4950.0,31173.0
023800.KS,20170330,4970.0,4970.0,4895.0,4925.0,20795.0
023800.KS,20170329,4905.0,4960.0,4905.0,4935.0,9691.0
023800.KS,20170328,4875.0,4930.0,4850.0,4925.0,26016.0
023800.KS,20170327,4880.0,4910.0,4860.0,4895.0,21365.0
023800.KS,20170324,4905.0,4930.0,4880.0,4890.0,22039.0
023800.KS,20170323,4905.0,4935.0,4905.0,4910.0,36401.0
023800.KS,20170322,4980.0,4980.0,4905.0,4935.0,13481.0
023800.KS,20170321,4975.0,4995.0,4930.0,4975.0,22787.0
023800.KS,20170320,4970.0,5000.0,4930.0,4930.0,30822.0
023800.KS,20170317,4930.0,4985.0,4900.0,4970.0,57400.0
023800.KS,20170316,4905.0,4950.0,4870.0,4925.0,40330.0
023800.KS,20170315,4925.0,4940.0,4875.0,4905.0,48900.0
023800.KS,20170314,4935.0,4965.0,4915.0,4920.0,35294.0
023800.KS,20170313,5000.0,5000.0,4925.0,4960.0,44578.0
